# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.377221723836e-10       3.918549516562e-15       3.441173990805e-13       0.000000000000e+00       8.326926084293e-09       4.502074895885e-10      -1.785814755308e-12 
    3       1.304699199468e-10       4.840817997098e-15       3.805565934931e-13       0.000000000000e+00       5.083185970392e-09       3.184676956387e-10      -1.323294054376e-12 
    4       1.236016776062e-10       4.027929549466e-15       3.513415605547e-13       0.000000000000e+00       3.518219600243e-09       2.406374500126e-10      -8.396644975106e-13 
    5       1.184843291757e-10       2.583643912745e-15       2.957919024347e-13       0.000000000000e+00       2.617214079560e-09       1.897467586121e-10      -4.432375365840e-13 
    6       1.150023648095e-10       1.404265208923e-15       2.359072425918e-13       0.000000000000e+00       2.038620631616e-09       1.541557206008e-10      -1.611640421308e-13 
    7       1.127526782106e-10       7.642843825362e-16       1.841376885050e-13       0.000000000000e+00       1.640407686941e-09       1.280714593223e-10       9.456335349305e-15 
    8       1.114644650659e-10       5.115010931333e-16       1.455466727365e-13       0.000000000000e+00       1.352197221637e-09       1.083281720257e-10       8.782283858887e-14 
    9       1.108972130811e-10       4.146338631164e-16       1.207663217495e-13       0.000000000000e+00       1.135807306761e-09       9.305034610694e-11       1.005731897858e-13 
   10       1.108113997029e-10       3.481942459048e-16       1.080083415235e-13       0.000000000000e+00       9.688364521580e-10       8.097212356031e-11       7.534395092852e-14 
   11       1.111667068746e-10       2.923843025955e-16       1.043827257531e-13       0.000000000000e+00       8.293820219243e-10       7.195277447885e-11       3.643544062459e-14 
   12       1.118018904587e-10       2.617920203835e-16       1.068339555174e-13       0.000000000000e+00       7.245354350631e-10       6.359382399635e-11      -1.395665867040e-16 
   13       1.126726490770e-10       2.593083797485e-16       1.128286897371e-13       0.000000000000e+00       6.384770785214e-10       5.680805606474e-11      -2.443227582695e-14 
   14       1.137459390062e-10       2.749952532516e-16       1.205730111936e-13       0.000000000000e+00       5.668891705502e-10       5.092181155113e-11      -3.448819506751e-14 
