# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.385985891427e-10       4.278654558088e-15       3.546298640229e-13       2.272470741615e-19       8.307656180912e-09       4.974331448896e-10      -1.846227676172e-12 
    3       1.262547858362e-10       5.362447105178e-15       4.059731294039e-13       4.545876809414e-19       5.118142536625e-09       3.263194143053e-10      -1.391068174219e-12 
    4       1.176377792836e-10       4.558328710136e-15       3.745864054365e-13       7.578521468838e-19       3.555845058707e-09       2.361429128917e-10      -9.059231943597e-13 
    5       1.119438001659e-10       2.993644541461e-15       3.119411235457e-13       1.137160118361e-18       2.651565534124e-09       1.809187666458e-10      -5.015890094724e-13 
    6       1.083368156199e-10       1.651286632666e-15       2.451621200158e-13       1.592656916836e-18       2.068857564115e-09       1.439169696645e-10      -2.067784971794e-13 
    7       1.062123024469e-10       8.873438645438e-16       1.882136828559e-13       2.124510901961e-18       1.666896099761e-09       1.176552276251e-10      -2.127311307623e-14 
    8       1.050625657520e-10       5.757464969635e-16       1.463035864558e-13       2.732910486097e-18       1.375752533147e-09       9.818680180655e-11       7.118565217627e-14 
    9       1.046433489354e-10       4.641820883596e-16       1.197640846808e-13       3.418060887209e-18       1.156887241858e-09       8.326885039598e-11       9.489586962719e-14 
   10       1.047518040660e-10       3.956650410904e-16       1.062858818368e-13       4.180180713300e-18       9.875896281346e-10       7.158649943577e-11       7.623244428985e-14 
   11       1.052275205257e-10       3.344663349165e-16       1.025049828686e-13       5.019498474600e-18       8.465147280089e-10       6.299934892515e-11       3.927497794703e-14 
   12       1.060450942738e-10       2.958731291501e-16       1.050317792760e-13       5.936249119373e-18       7.398152528429e-10       5.533823553387e-11       1.429680969982e-15 
   13       1.070712532361e-10       2.877191361466e-16       1.109558322970e-13       6.930670685706e-18       6.521640408155e-10       4.898048466583e-11      -2.636552667037e-14 
   14       1.082454234625e-10       3.005416113792e-16       1.183189441358e-13       8.003001154943e-18       5.791988324150e-10       4.353352364360e-11      -4.011566098106e-14 
   15       1.095924804629e-10       3.237767711992e-16       1.260781142791e-13       9.153475582959e-18       5.177571885079e-10       3.898022029104e-11      -4.076027219402e-14 
   16       1.110922727721e-10       3.569094021353e-16       1.337683846734e-13       1.038232357352e-17       4.654973279322e-10       3.514398657820e-11      -3.260821736297e-14 
   17       1.126526271932e-10       4.062366403577e-16       1.414758903789e-13       1.168976714409e-17       4.206521506201e-10       3.183092651233e-11      -2.101132267562e-14 
   18       1.143098101258e-10       4.767711124255e-16       1.494877094530e-13       1.307601884999e-17       3.817235399469e-10       2.889856866412e-11      -1.071820066590e-14 
   19       1.160747847019e-10       5.685235223106e-16       1.580598990680e-13       1.454128136872e-17       3.480838045201e-10       2.632750292693e-11      -4.001596887671e-15 
   20       1.178854038698e-10       6.792641546740e-16       1.673793149509e-13       1.608574480916e-17       3.184537140492e-10       2.407468194578e-11      -2.121468833604e-15 
   21       1.197522567126e-10       8.083152300540e-16       1.773228723046e-13       1.770958896581e-17       2.923698536041e-10       2.212126793693e-11      -4.240508284242e-15 
   22       1.216792953539e-10       9.551845125445e-16       1.875782562073e-13       1.941298037682e-17       2.692056229145e-10       2.041830386245e-11      -8.412534052328e-15 
   23       1.236616461849e-10       1.119856204118e-15       1.977691516826e-13       2.119607596748e-17       2.486436784080e-10       1.891471601093e-11      -1.290820562683e-14 
   24       1.256733894776e-10       1.302322045922e-15       2.074527989344e-13       2.305902005584e-17       2.302111747386e-10       1.754082557216e-11      -1.600321394293e-14 
   25       1.277209542117e-10       1.502795639083e-15       2.163075211314e-13       2.500194963282e-17       2.136916902510e-10       1.628111232146e-11      -1.711001846687e-14 
   26       1.298072608221e-10       1.721814280986e-15       2.240744009358e-13       2.702499075084e-17       1.987861837731e-10       1.512875506768e-11      -1.616933153330e-14 
   27       1.319368707249e-10       1.961518693753e-15       2.307405228506e-13       2.912826362534e-17       1.853164646215e-10       1.409304866074e-11      -1.385234512440e-14 
   28       1.341052016322e-10       2.224531707586e-15       2.363937385668e-13       3.131188016649e-17       1.730511428233e-10       1.317820251823e-11      -1.114047685083e-14 
   29       1.363157953018e-10       2.512315696435e-15       2.411099343522e-13       3.357595242493e-17       1.619275956095e-10       1.237016779412e-11      -8.655187000628e-15 
   30       1.385621362830e-10       2.825955261775e-15       2.449929209606e-13       3.592058548059e-17       1.518261405664e-10       1.163679206082e-11      -7.007029395560e-15 
   31       1.408278909357e-10       3.166449573259e-15       2.481429100633e-13       3.834587742690e-17       1.425405263733e-10       1.094031505935e-11      -6.731610739422e-15 
   32       1.431168363376e-10       3.534605242644e-15       2.504835439573e-13       4.085193020268e-17       1.340228616445e-10       1.028312157559e-11      -7.543523682579e-15 
   33       1.454316812977e-10       3.931086399211e-15       2.518681583365e-13       4.343884254990e-17       1.262131083666e-10       9.678107641717e-12      -8.786302655140e-15 
   34       1.477688122679e-10       4.356518621471e-15       2.521386632382e-13       4.610670875274e-17       1.190021703207e-10       9.133882792579e-12      -9.764806281927e-15 
   35       1.501312274657e-10       4.811790997748e-15       2.511829490140e-13       4.885562426146e-17       1.123530739602e-10       8.645420470698e-12      -1.028220713588e-14 
   36       1.525185154730e-10       5.297852722224e-15       2.488957430605e-13       5.168568210057e-17       1.062123177195e-10       8.199324601603e-12      -1.028519756058e-14 
   37       1.549263292624e-10       5.815608650644e-15       2.451819180421e-13       5.459697115678e-17       1.004998170385e-10       7.780342530733e-12      -9.760319056997e-15 
   38       1.573591913246e-10       6.365840530739e-15       2.400219859148e-13       5.758957511852e-17       9.520076028291e-11       7.387127754263e-12      -8.861744411022e-15 
   39       1.598208311756e-10       6.949254304389e-15       2.334289203003e-13       6.066357328867e-17       9.029831834630e-11       7.021199729437e-12      -7.830063625851e-15 
   40       1.623100788232e-10       7.566496233840e-15       2.254318519905e-13       6.381904093405e-17       8.574570913283e-11       6.682531709649e-12      -6.962751981868e-15 
   41       1.648229420049e-10       8.218182767673e-15       2.160629303651e-13       6.705604675408e-17       8.148248233388e-11       6.369726282559e-12      -6.535001420702e-15 
