# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.667490644785e-10       7.795644760469e-15       2.372129242359e-13       6.910336169300e-17       8.405683571670e-11       8.797734223117e-12      -6.856084557099e-15 
   41       1.692799138721e-10       8.465262685044e-15       2.278459600931e-13       7.260424332673e-17       7.989296481535e-11       8.394402073748e-12      -6.884614020479e-15 
   42       1.718281867751e-10       9.170884658584e-15       2.171008745633e-13       7.619287250086e-17       7.600699732329e-11       8.018648055063e-12      -7.073922402813e-15 
   43       1.743818328908e-10       9.913195927555e-15       2.049887853190e-13       7.986927529425e-17       7.235687246409e-11       7.667752992830e-12      -7.339867153892e-15 
   44       1.769458744170e-10       1.069278214718e-14       1.914529688120e-13       8.363347588659e-17       6.893691022019e-11       7.340913754295e-12      -7.647068592047e-15 
   45       1.795290350644e-10       1.151016188820e-14       1.764112598695e-13       8.748549482568e-17       6.574357585394e-11       7.036951566874e-12      -7.969968211539e-15 
   46       1.821385135531e-10       1.236579742369e-14       1.597718295763e-13       9.142534843994e-17       6.276185508396e-11       6.753375975274e-12      -8.277776130010e-15 
   47       1.847797875239e-10       1.326009210066e-14       1.414325203333e-13       9.545304895851e-17       5.996435937211e-11       6.486286104701e-12      -8.534173593037e-15 
   48       1.874562573713e-10       1.419338452247e-14       1.212998627586e-13       9.956860270521e-17       5.731974651044e-11       6.231513033883e-12      -8.708889734749e-15 
   49       1.901685165646e-10       1.516593529015e-14       9.935401688499e-14       1.037720037983e-16       5.482287690811e-11       5.988658090986e-12      -8.816984935944e-15 
   50       1.929145387360e-10       1.617793200771e-14       7.560099464739e-14       1.080632388810e-16       5.247162077510e-11       5.758023262979e-12      -8.890129833034e-15 
   51       1.956896205680e-10       1.722948942245e-14       5.005490721953e-14       1.124422889137e-16       5.025787589101e-11       5.539434930680e-12      -8.965998625781e-15 
   52       1.984861775379e-10       1.832064663384e-14       2.273830424861e-14       1.169091291962e-16       4.816714816252e-11       5.332208453891e-12      -9.088577411239e-15 
   53       2.012965858803e-10       1.945141631443e-14      -6.327665569710e-15       1.214637272017e-16       4.618309640682e-11       5.135440437392e-12      -9.295688287081e-15 
   54       2.041230366064e-10       2.062195365645e-14      -3.715652403779e-14       1.261060353783e-16       4.430350422178e-11       4.949055281170e-12      -9.577085603313e-15 
   55       2.069698593850e-10       2.183242600405e-14      -6.977115769869e-14       1.308359965345e-16       4.252768413959e-11       4.772966020057e-12      -9.906121843013e-15 
   56       2.098406233072e-10       2.308296404735e-14      -1.041944735825e-13       1.356535457961e-16       4.085166635295e-11       4.606749010926e-12      -1.025136611417e-14 
   57       2.127380603529e-10       2.437366121211e-14      -1.404494867501e-13       1.405586105361e-16       3.926798741621e-11       4.449622257067e-12      -1.057637645721e-14 
   58       2.156639888590e-10       2.570457304933e-14      -1.785594078370e-13       1.455511103050e-16       3.776547894630e-11       4.300423732560e-12      -1.083947215245e-14 
   59       2.186195820941e-10       2.707561613997e-14      -2.185411370902e-13       1.506309598094e-16       3.633233841817e-11       4.157928051924e-12      -1.100386946014e-14 
   60       2.216064206389e-10       2.848623877937e-14      -2.603837833224e-13       1.557980788160e-16       3.496665420833e-11       4.021931584947e-12      -1.107135464783e-14 
   61       2.246255495736e-10       2.993567260131e-14      -3.040653022749e-13       1.610523844284e-16       3.366795568278e-11       3.892381477089e-12      -1.105604232578e-14 
   62       2.276770913484e-10       3.142302240421e-14      -3.495585183178e-13       1.663937882727e-16       3.243404801310e-11       3.769049463125e-12      -1.097482066521e-14 
   63       2.307601809490e-10       3.294726213450e-14      -3.968309884851e-13       1.718221965317e-16       3.126091213495e-11       3.651521660847e-12      -1.084747500857e-14 
   64       2.338729010627e-10       3.450723086999e-14      -4.458448665095e-13       1.773375099777e-16       3.014260470650e-11       3.539188364776e-12      -1.069681147989e-14 
   65       2.370132061082e-10       3.610178072774e-14      -4.965641805811e-13       1.829396362248e-16       2.907289610728e-11       3.431415991316e-12      -1.054399759514e-14 
