# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.373728789528e-02       2.331074151674e+04 
       1.386802070028e-02       2.334881605156e+04 
       1.399879001836e-02       2.338484894438e+04 
       1.412959598405e-02       2.341886943689e+04 
       1.426043875479e-02       2.345090242892e+04 
       1.439131851047e-02       2.348098119004e+04 
       1.452223545322e-02       2.350911884080e+04 
       1.465318980709e-02       2.353535555425e+04 
       1.478418181780e-02       2.355970085301e+04 
       1.491521175252e-02       2.358218516667e+04 
       1.504627989973e-02       2.360283216604e+04 
       1.517738656900e-02       2.362166656299e+04 
       1.530853209090e-02       2.363870557760e+04 
       1.543971681688e-02       2.365398851662e+04 
       1.557094111917e-02       2.366749775525e+04 
       1.570220539075e-02       2.367929699781e+04 
       1.583351004531e-02       2.368955553209e+04 
       1.596485551719e-02       2.369817958253e+04 
       1.609624226147e-02       2.370498004132e+04 
       1.622767075391e-02       2.371009466901e+04 
       1.635914149107e-02       2.371364379987e+04 
       1.649065499033e-02       2.371558784058e+04 
       1.662221178998e-02       2.371596265626e+04 
       1.675381244937e-02       2.371478537394e+04 
       1.688545754897e-02       2.371210127759e+04 
       1.701714769057e-02       2.370790560293e+04 
       1.714888349741e-02       2.370222138343e+04 
       1.728066561433e-02       2.369508594841e+04 
       1.741249470803e-02       2.368649947219e+04 
       1.754437146724e-02       2.367649934169e+04 
       1.767629660295e-02       2.366508105147e+04 
       1.780827084865e-02       2.365228971648e+04 
       1.794029496063e-02       2.363813881175e+04 
       1.807236971820e-02       2.362263996627e+04 
       1.820449592406e-02       2.360582464861e+04 
       1.833667440453e-02       2.358770034502e+04 
       1.846890600993e-02       2.356830238531e+04 
       1.860119161494e-02       2.354761775770e+04 
       1.873353211890e-02       2.352571251588e+04 
       1.886592844626e-02       2.350257460032e+04 
       1.899838154692e-02       2.347823437070e+04 
       1.913089239668e-02       2.345269394078e+04 
       1.926346199766e-02       2.342598754861e+04 
       1.939609137875e-02       2.339810684435e+04 
       1.952878159607e-02       2.336912118436e+04 
       1.966153373344e-02       2.333899726536e+04 
       1.979434890295e-02       2.330777890260e+04 
       1.992722824539e-02       2.327549970721e+04 
       2.006017293084e-02       2.324213073107e+04 
       2.019318415925e-02       2.320771259439e+04 
       2.032626316097e-02       2.317230476594e+04 
       2.045941119738e-02       2.313585671938e+04 
       2.059262956150e-02       2.309843154397e+04 
       2.072591957864e-02       2.306001324616e+04 
       2.085928260704e-02       2.302063419394e+04 
       2.099272003858e-02       2.298033673182e+04 
       2.112623329948e-02       2.293910215673e+04 
       2.125982385102e-02       2.289696234041e+04 
       2.139349319030e-02       2.285392101919e+04 
       2.152724285099e-02       2.281002110579e+04 
       2.166107440419e-02       2.276521784997e+04 
       2.179498945920e-02       2.271962805843e+04 
       2.192898966440e-02       2.267320703559e+04 
       2.206307670813e-02       2.262595163892e+04 
       2.219725231958e-02       2.257790492014e+04 
       2.233151826975e-02       2.252907207643e+04 
       2.246587637239e-02       2.247948941024e+04 
       2.260032848502e-02       2.242915377822e+04 
       2.273487650993e-02       2.237810816352e+04 
       2.286952239528e-02       2.232632522444e+04 
       2.300426813611e-02       2.227384441684e+04 
       2.313911577558e-02       2.222066434551e+04 
       2.327406740603e-02       2.216682049484e+04 
       2.340912517023e-02       2.211228545905e+04 
       2.354429126259e-02       2.205712762707e+04 
       2.367956793045e-02       2.200130901143e+04 
       2.381495747539e-02       2.194485549837e+04 
       2.395046225457e-02       2.188793872421e+04 
       2.408608468215e-02       2.183036219945e+04 
       2.422182723071e-02       2.177221491780e+04 
       2.435769243276e-02       2.171348974542e+04 
       2.449368288227e-02       2.165412764736e+04 
       2.462980123622e-02       2.159425209946e+04 
       2.476605021628e-02       2.153406808579e+04 
       2.490243261050e-02       2.147306460797e+04 
       2.503895127503e-02       2.141169326631e+04 
       2.517560913590e-02       2.135014456879e+04 
       2.531240919095e-02       2.128780801385e+04 
       2.544935451167e-02       2.122509458349e+04 
       2.558644824527e-02       2.116207179726e+04 
       2.572369361664e-02       2.109816425608e+04 
       2.586109393055e-02       2.103412939603e+04 
       2.599865257378e-02       2.096976761308e+04 
       2.613637301742e-02       2.090489140629e+04 
       2.627425881922e-02       2.083967104531e+04 
       2.641231362598e-02       2.077420235465e+04 
       2.655054117606e-02       2.070801250543e+04 
       2.668894530201e-02       2.064190133342e+04 
       2.682752993323e-02       2.057519828123e+04 
       2.696629909873e-02       2.050806271764e+04 
       2.710525693003e-02       2.044076042304e+04 
       2.724440766412e-02       2.037334427211e+04 
       2.738375564659e-02       2.030541366529e+04 
       2.752330533475e-02       2.023699959764e+04 
       2.766306130101e-02       2.016868941287e+04 
       2.780302823627e-02       2.009999150049e+04 
       2.794321095351e-02       2.003078820097e+04 
       2.808361439146e-02       1.996160476293e+04 
       2.822424361844e-02       1.989232208359e+04 
       2.836510383631e-02       1.982245000580e+04 
       2.850620038463e-02       1.975244152390e+04 
       2.864753874491e-02       1.968242085827e+04 
       2.878912454508e-02       1.961206501169e+04 
       2.893096356407e-02       1.954148345183e+04 
       2.907306173665e-02       1.947063809627e+04 
       2.921542515838e-02       1.939998346787e+04 
       2.935806009081e-02       1.932880473538e+04 
       2.950097296687e-02       1.925750904204e+04 
       2.964417039648e-02       1.918607384713e+04 
       2.978765917237e-02       1.911467602883e+04 
       2.993144627617e-02       1.904285739611e+04 
       3.007553888471e-02       1.897115739516e+04 
       3.021994437664e-02       1.889932943403e+04 
       3.036467033925e-02       1.882725698308e+04 
       3.050972457568e-02       1.875507435978e+04 
       3.065511511232e-02       1.868295311093e+04 
       3.080085020661e-02       1.861059644787e+04 
       3.094693835517e-02       1.853823812880e+04 
       3.109338830227e-02       1.846584978894e+04 
       3.124020904864e-02       1.839345372395e+04 
       3.138740986075e-02       1.832062752209e+04 
       3.153500028045e-02       1.824809363792e+04 
       3.168299013504e-02       1.817530942328e+04 
       3.183138954786e-02       1.810256767695e+04 
       3.198020894932e-02       1.802975224558e+04 
       3.212945908844e-02       1.795698995223e+04 
       3.227915104496e-02       1.788425143575e+04 
       3.242929624201e-02       1.781119140276e+04 
       3.257990645941e-02       1.773838337618e+04 
       3.273099384757e-02       1.766551615752e+04 
       3.288257094211e-02       1.759245758719e+04 
       3.303465067917e-02       1.751959633163e+04 
       3.318724641153e-02       1.744645077579e+04 
       3.334037192550e-02       1.737352067180e+04 
       3.349404145863e-02       1.730090245043e+04 
       3.364826971849e-02       1.722800401418e+04 
       3.380307190218e-02       1.715507192976e+04 
       3.395846371712e-02       1.708213755063e+04 
       3.411446140275e-02       1.700915055959e+04 
       3.427108175347e-02       1.693657678499e+04 
       3.442834214282e-02       1.686382925751e+04 
       3.458626054901e-02       1.679102308043e+04 
       3.474485558176e-02       1.671834726414e+04 
       3.490414651075e-02       1.664546700109e+04 
       3.506415329566e-02       1.657309611749e+04 
       3.522489661784e-02       1.650046474351e+04 
       3.538639791394e-02       1.642782255854e+04 
       3.554867941139e-02       1.635543866101e+04 
       3.571176416607e-02       1.628306231766e+04 
       3.587567610217e-02       1.621064482494e+04 
       3.604044005449e-02       1.613825495800e+04 
       3.620608181334e-02       1.606602860669e+04 
       3.637262817222e-02       1.599377912696e+04 
       3.654010697846e-02       1.592163821719e+04 
       3.670854718715e-02       1.584954105719e+04 
       3.687797891842e-02       1.577743624229e+04 
       3.704843351862e-02       1.570552050241e+04 
       3.721994362539e-02       1.563342634615e+04 
       3.739254323712e-02       1.556177858628e+04 
       3.756626778718e-02       1.548976693077e+04 
       3.774115422314e-02       1.541814544718e+04 
       3.791724109156e-02       1.534631512705e+04 
       3.809456862879e-02       1.527493447471e+04 
       3.827317885811e-02       1.520331952289e+04 
       3.845311569413e-02       1.513181710438e+04 
