# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.373728789528e-02       2.325663082444e+04 
       1.386802070028e-02       2.329488605539e+04 
       1.399879001836e-02       2.333112464951e+04 
       1.412959598405e-02       2.336537566218e+04 
       1.426043875479e-02       2.339766380208e+04 
       1.439131851047e-02       2.342802214261e+04 
       1.452223545322e-02       2.345646357988e+04 
       1.465318980709e-02       2.348302803289e+04 
       1.478418181780e-02       2.350772508827e+04 
       1.491521175252e-02       2.353058443541e+04 
       1.504627989973e-02       2.355162925624e+04 
       1.517738656900e-02       2.357088735715e+04 
       1.530853209090e-02       2.358837051596e+04 
       1.543971681688e-02       2.360411075889e+04 
       1.557094111917e-02       2.361813001321e+04 
       1.570220539075e-02       2.363045678996e+04 
       1.583351004531e-02       2.364109968079e+04 
       1.596485551719e-02       2.365009120248e+04 
       1.609624226147e-02       2.365744935463e+04 
       1.622767075391e-02       2.366319475914e+04 
       1.635914149107e-02       2.366736135619e+04 
       1.649065499033e-02       2.366994481889e+04 
       1.662221178998e-02       2.367098847515e+04 
       1.675381244937e-02       2.367050028632e+04 
       1.688545754897e-02       2.366852614205e+04 
       1.701714769057e-02       2.366506280706e+04 
       1.714888349741e-02       2.366013263120e+04 
       1.728066561433e-02       2.365377255017e+04 
       1.741249470803e-02       2.364598275516e+04 
       1.754437146724e-02       2.363680049146e+04 
       1.767629660295e-02       2.362622106633e+04 
       1.780827084865e-02       2.361428951915e+04 
       1.794029496063e-02       2.360101929163e+04 
       1.807236971820e-02       2.358642191108e+04 
       1.820449592406e-02       2.357052873611e+04 
       1.833667440453e-02       2.355334717420e+04 
       1.846890600993e-02       2.353491254116e+04 
       1.860119161494e-02       2.351521177493e+04 
       1.873353211890e-02       2.349431088498e+04 
       1.886592844626e-02       2.347219785845e+04 
       1.899838154692e-02       2.344890303332e+04 
       1.913089239668e-02       2.342442836581e+04 
       1.926346199766e-02       2.339880819860e+04 
       1.939609137875e-02       2.337203415853e+04 
       1.952878159607e-02       2.334417562762e+04 
       1.966153373344e-02       2.331519918522e+04 
       1.979434890295e-02       2.328514870127e+04 
       1.992722824539e-02       2.325405780630e+04 
       2.006017293084e-02       2.322189752240e+04 
       2.019318415925e-02       2.318870837339e+04 
       2.032626316097e-02       2.315454975012e+04 
       2.045941119738e-02       2.311937090852e+04 
       2.059262956150e-02       2.308323477943e+04 
       2.072591957864e-02       2.304612512384e+04 
       2.085928260704e-02       2.300807420832e+04 
       2.099272003858e-02       2.296912425436e+04 
       2.112623329948e-02       2.292925625605e+04 
       2.125982385102e-02       2.288850169053e+04 
       2.139349319030e-02       2.284686383937e+04 
       2.152724285099e-02       2.280438519943e+04 
       2.166107440419e-02       2.276102054326e+04 
       2.179498945920e-02       2.271688652968e+04 
       2.192898966440e-02       2.267193799854e+04 
       2.206307670813e-02       2.262617106416e+04 
       2.219725231958e-02       2.257962810547e+04 
       2.233151826975e-02       2.253231386097e+04 
       2.246587637239e-02       2.248426426159e+04 
       2.260032848502e-02       2.243547552479e+04 
       2.273487650993e-02       2.238598998350e+04 
       2.286952239528e-02       2.233577952343e+04 
       2.300426813611e-02       2.228488299993e+04 
       2.313911577558e-02       2.223329833959e+04 
       2.327406740603e-02       2.218106033659e+04 
       2.340912517023e-02       2.212814095957e+04 
       2.354429126259e-02       2.207460790096e+04 
       2.367956793045e-02       2.202042251973e+04 
       2.381495747539e-02       2.196561061937e+04 
       2.395046225457e-02       2.191034367941e+04 
       2.408608468215e-02       2.185442400698e+04 
       2.422182723071e-02       2.179793955597e+04 
       2.435769243276e-02       2.174088185844e+04 
       2.449368288227e-02       2.168319101770e+04 
       2.462980123622e-02       2.162499147876e+04 
       2.476605021628e-02       2.156648969943e+04 
       2.490243261050e-02       2.150717118333e+04 
       2.503895127503e-02       2.144749024528e+04 
       2.517560913590e-02       2.138763787209e+04 
       2.531240919095e-02       2.132699766113e+04 
       2.544935451167e-02       2.126598252542e+04 
       2.558644824527e-02       2.120465910557e+04 
       2.572369361664e-02       2.114244742195e+04 
       2.586109393055e-02       2.108011046956e+04 
       2.599865257378e-02       2.101744817501e+04 
       2.613637301742e-02       2.095427177036e+04 
       2.627425881922e-02       2.089075199222e+04 
       2.641231362598e-02       2.082698432775e+04 
       2.655054117606e-02       2.076249081376e+04 
       2.668894530201e-02       2.069807665661e+04 
       2.682752993323e-02       2.063306517169e+04 
       2.696629909873e-02       2.056761785230e+04 
       2.710525693003e-02       2.050200436986e+04 
       2.724440766412e-02       2.043627778062e+04 
       2.738375564659e-02       2.037003182911e+04 
       2.752330533475e-02       2.030329580430e+04 
       2.766306130101e-02       2.023666204166e+04 
       2.780302823627e-02       2.016963462430e+04 
       2.794321095351e-02       2.010209414894e+04 
       2.808361439146e-02       2.003457061364e+04 
       2.822424361844e-02       1.996694240171e+04 
       2.836510383631e-02       1.989871433789e+04 
       2.850620038463e-02       1.983034410578e+04 
       2.864753874491e-02       1.976195776056e+04 
       2.878912454508e-02       1.969322810508e+04 
       2.893096356407e-02       1.962426466664e+04 
       2.907306173665e-02       1.955502793015e+04 
       2.921542515838e-02       1.948597692755e+04 
       2.935806009081e-02       1.941638747175e+04 
       2.950097296687e-02       1.934667111616e+04 
       2.964417039648e-02       1.927680482673e+04 
       2.978765917237e-02       1.920696820469e+04 
       2.993144627617e-02       1.913669703344e+04 
       3.007553888471e-02       1.906653594263e+04 
       3.021994437664e-02       1.899623438230e+04 
       3.036467033925e-02       1.892567407972e+04 
       3.050972457568e-02       1.885499126836e+04 
       3.065511511232e-02       1.878436031941e+04 
       3.080085020661e-02       1.871347932932e+04 
       3.094693835517e-02       1.864258472665e+04 
       3.109338830227e-02       1.857164616973e+04 
       3.124020904864e-02       1.850068672342e+04 
       3.138740986075e-02       1.842927799106e+04 
       3.153500028045e-02       1.835815199281e+04 
       3.168299013504e-02       1.828675889418e+04 
       3.183138954786e-02       1.821539566871e+04 
       3.198020894932e-02       1.814394382532e+04 
       3.212945908844e-02       1.807253145743e+04 
       3.227915104496e-02       1.800112797774e+04 
       3.242929624201e-02       1.792938214653e+04 
       3.257990645941e-02       1.785787557486e+04 
       3.273099384757e-02       1.778629143025e+04 
       3.288257094211e-02       1.771449621864e+04 
       3.303465067917e-02       1.764288665799e+04 
       3.318724641153e-02       1.757097519835e+04 
       3.334037192550e-02       1.749926926012e+04 
       3.349404145863e-02       1.742786327306e+04 
       3.364826971849e-02       1.735615198272e+04 
       3.380307190218e-02       1.728438606555e+04 
       3.395846371712e-02       1.721260115209e+04 
       3.411446140275e-02       1.714074848351e+04 
       3.427108175347e-02       1.706930242145e+04 
       3.442834214282e-02       1.699766193869e+04 
       3.458626054901e-02       1.692594093076e+04 
       3.474485558176e-02       1.685433184409e+04 
       3.490414651075e-02       1.678249556153e+04 
       3.506415329566e-02       1.671116190314e+04 
       3.522489661784e-02       1.663954586991e+04 
       3.538639791394e-02       1.656790091527e+04 
       3.554867941139e-02       1.649650098743e+04 
       3.571176416607e-02       1.642508926498e+04 
       3.587567610217e-02       1.635361605605e+04 
       3.604044005449e-02       1.628215107296e+04 
       3.620608181334e-02       1.621083292054e+04 
       3.637262817222e-02       1.613947162716e+04 
       3.654010697846e-02       1.606820143919e+04 
       3.670854718715e-02       1.599695713925e+04 
       3.687797891842e-02       1.592568733754e+04 
       3.704843351862e-02       1.585459352717e+04 
       3.721994362539e-02       1.578329854978e+04 
       3.739254323712e-02       1.571243900924e+04 
       3.756626778718e-02       1.564118422685e+04 
       3.774115422314e-02       1.557030899756e+04 
       3.791724109156e-02       1.549920405947e+04 
       3.809456862879e-02       1.542854643414e+04 
       3.827317885811e-02       1.535763346175e+04 
       3.845311569413e-02       1.528681676965e+04 
       3.863442505463e-02       1.521590618151e+04 
       3.881715498090e-02       1.514515063362e+04 
       3.900135576708e-02       1.507446286788e+04 
