# Matter power spectrum P(k) at redshift z=0
# for k=8.86625e-06 to 4.46372 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.866245192640e-06       7.351901522056e+01 
       1.979356506617e-05       1.607005190231e+02 
       3.074856078463e-05       2.466950151305e+02 
       4.175243087556e-05       3.321223782922e+02 
       5.282662685437e-05       4.173194998063e+02 
       6.399299102487e-05       5.025298832639e+02 
       7.527389749086e-05       5.879564598472e+02 
       8.669239775826e-05       6.737828660891e+02 
       9.827237231869e-05       7.601849968643e+02 
       1.100386896197e-04       8.473371157514e+02 
       1.220173738421e-04       9.354168392974e+02 
       1.342357829119e-04       1.024608175033e+03 
       1.467227981713e-04       1.115104968559e+03 
       1.595090271031e-04       1.207113154966e+03 
       1.726270204403e-04       1.300853703575e+03 
       1.861115048766e-04       1.396565233333e+03 
       1.999996324034e-04       1.494506314235e+03 
       2.143312470081e-04       1.594958700814e+03 
       2.291491690433e-04       1.698229635155e+03 
       2.444994969711e-04       1.804655105543e+03 
       2.604319253550e-04       1.914602778965e+03 
       2.770000768411e-04       2.028474949492e+03 
       2.942618443835e-04       2.146711667132e+03 
       3.122797380274e-04       2.269793483298e+03 
       3.311212281011e-04       2.398244179244e+03 
       3.508590735887e-04       2.532632928137e+03 
       3.715716207057e-04       2.673575982425e+03 
       3.933430522558e-04       2.821737222264e+03 
       4.162635632423e-04       2.977827957222e+03 
       4.404294326149e-04       3.142604806613e+03 
       4.659429552479e-04       3.316865845488e+03 
       4.929121928296e-04       3.501444573018e+03 
       5.214504980860e-04       3.697201046889e+03 
       5.516757648186e-04       3.905010178101e+03 
       5.837093580168e-04       4.125746768981e+03 
       6.176746854738e-04       4.360267356907e+03 
       6.536953865075e-04       4.609389138877e+03 
       6.918931358394e-04       4.873866280705e+03 
       7.323850917582e-04       5.154364499400e+03 
       7.752810562833e-04       5.451435252390e+03 
       8.206804579910e-04       5.765491043122e+03 
       8.686693101600e-04       6.096782607785e+03 
       9.193173307616e-04       6.445381696708e+03 
       9.726754287178e-04       6.811168530556e+03 
       1.028773756056e-03       7.193827237616e+03 
       1.087620494576e-03       7.592848405640e+03 
       1.149201489803e-03       8.007521862089e+03 
       1.213480771118e-03       8.436975185177e+03 
       1.280401916192e-03       8.880245878488e+03 
       1.349890143140e-03       9.336226501383e+03 
       1.421854956760e-03       9.803725156310e+03 
       1.496193143367e-03       1.028149799067e+04 
       1.572791903917e-03       1.076827443787e+04 
       1.651531934247e-03       1.126278414634e+04 
       1.732290297226e-03       1.176377786563e+04 
       1.814942976282e-03       1.227004624343e+04 
       1.899367045244e-03       1.278043396412e+04 
       1.985442430064e-03       1.329384912874e+04 
       2.073053270247e-03       1.380927082867e+04 
       2.162088910655e-03       1.432575226276e+04 
       2.252444568178e-03       1.484242096579e+04 
       2.344021724108e-03       1.535847967401e+04 
       2.436728293766e-03       1.587320333690e+04 
       2.530478621832e-03       1.638593631356e+04 
       2.625193346543e-03       1.689608749105e+04 
       2.720799169583e-03       1.740312720000e+04 
       2.817228562032e-03       1.790658240445e+04 
       2.914419430643e-03       1.840603003356e+04 
       3.012314763267e-03       1.890110138153e+04 
       3.110862267643e-03       1.939146124969e+04 
       3.210014013918e-03       1.987682261555e+04 
       3.309726088195e-03       2.035692990128e+04 
       3.409958261987e-03       2.083156435393e+04 
       3.510673680624e-03       2.130053022659e+04 
       3.611838572225e-03       2.176366871732e+04 
       3.713421977877e-03       2.222083169346e+04 
       3.815395502907e-03       2.267190852810e+04 
       3.917733088630e-03       2.311679749473e+04 
       4.020410803651e-03       2.355538903109e+04 
       4.123406653561e-03       2.398764781372e+04 
       4.226700407798e-03       2.441355357903e+04 
       4.330273442372e-03       2.483300382147e+04 
       4.434108597178e-03       2.524600658622e+04 
       4.538190046653e-03       2.565242627416e+04 
       4.642503182595e-03       2.605253882226e+04 
       4.747034508031e-03       2.644598331910e+04 
       4.851771541102e-03       2.683309829904e+04 
       4.956702728013e-03       2.721363772898e+04 
       5.061817364178e-03       2.758773635754e+04 
       5.167105522754e-03       2.795537611325e+04 
       5.272557989851e-03       2.831658423660e+04 
       5.378166205763e-03       2.867134742040e+04 
       5.483922211618e-03       2.901990374787e+04 
       5.589818600927e-03       2.936207352322e+04 
       5.695848475538e-03       2.969809233032e+04 
       5.802005405576e-03       3.002770473216e+04 
       5.908283392968e-03       3.035104668522e+04 
       6.014676838218e-03       3.066842318303e+04 
       6.121180510096e-03       3.097961311707e+04 
       6.227789517993e-03       3.128474900531e+04 
       6.334499286648e-03       3.158388469013e+04 
       6.441305533062e-03       3.187705550634e+04 
       6.548204245356e-03       3.216429620792e+04 
       6.655191663423e-03       3.244565585170e+04 
       6.762264261178e-03       3.272130755443e+04 
       6.869418730288e-03       3.299109196337e+04 
       6.976651965223e-03       3.325538649806e+04 
       7.083961049518e-03       3.351396473290e+04 
       7.191343243144e-03       3.376696854794e+04 
       7.298795970874e-03       3.401442586269e+04 
       7.406316811571e-03       3.425633710754e+04 
       7.513903488309e-03       3.449302302277e+04 
       7.621553859252e-03       3.472430523526e+04 
       7.729265909246e-03       3.495022398928e+04 
       7.837037742027e-03       3.517080613049e+04 
       7.944867573037e-03       3.538628849120e+04 
       8.052753722756e-03       3.559674868017e+04 
       8.160694610542e-03       3.580193555985e+04 
       8.268688748910e-03       3.600225768424e+04 
       8.376734738235e-03       3.619747978139e+04 
       8.484831261833e-03       3.638779010248e+04 
       8.592977081393e-03       3.657324170689e+04 
       8.701171032735e-03       3.675388226911e+04 
       8.809412021864e-03       3.692973295721e+04 
       8.917699021307e-03       3.710088680237e+04 
       9.026031066691e-03       3.726735123065e+04 
       9.134407253574e-03       3.742913076619e+04 
