# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.373728789528e-02       2.322469419871e+04 
       1.386802070028e-02       2.326202198917e+04 
       1.399879001836e-02       2.329731857580e+04 
       1.412959598405e-02       2.333061306633e+04 
       1.426043875479e-02       2.336193023357e+04 
       1.439131851047e-02       2.339130318204e+04 
       1.452223545322e-02       2.341874494254e+04 
       1.465318980709e-02       2.344429549024e+04 
       1.478418181780e-02       2.346796427619e+04 
       1.491521175252e-02       2.348978156012e+04 
       1.504627989973e-02       2.350977087447e+04 
       1.517738656900e-02       2.352795691168e+04 
       1.530853209090e-02       2.354435662493e+04 
       1.543971681688e-02       2.355900893847e+04 
       1.557094111917e-02       2.357189747297e+04 
       1.570220539075e-02       2.358308460280e+04 
       1.583351004531e-02       2.359273411514e+04 
       1.596485551719e-02       2.360075635907e+04 
       1.609624226147e-02       2.360696916059e+04 
       1.622767075391e-02       2.361150624657e+04 
       1.635914149107e-02       2.361448488127e+04 
       1.649065499033e-02       2.361586669024e+04 
       1.662221178998e-02       2.361568761855e+04 
       1.675381244937e-02       2.361396445828e+04 
       1.688545754897e-02       2.361074233454e+04 
       1.701714769057e-02       2.360601656299e+04 
       1.714888349741e-02       2.359981010144e+04 
       1.728066561433e-02       2.359216014506e+04 
       1.741249470803e-02       2.358306689232e+04 
       1.754437146724e-02       2.357256766258e+04 
       1.767629660295e-02       2.356065803520e+04 
       1.780827084865e-02       2.354738299473e+04 
       1.794029496063e-02       2.353275606351e+04 
       1.807236971820e-02       2.351678897172e+04 
       1.820449592406e-02       2.349951318982e+04 
       1.833667440453e-02       2.348093628891e+04 
       1.846890600993e-02       2.346109366387e+04 
       1.860119161494e-02       2.343997255368e+04 
       1.873353211890e-02       2.341763890876e+04 
       1.886592844626e-02       2.339408097049e+04 
       1.899838154692e-02       2.336932923998e+04 
       1.913089239668e-02       2.334338599721e+04 
